"","X","REGION","ISLAND","SPECIES","TAXONNAME","FAMILY","CONSUMER_GROUP","SpecCode","Genus","SpeciesRefNo","Author","FBname","PicPreferredName","PicPreferredNameM","PicPreferredNameF","PicPreferredNameJ","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","Source","AuthorRef","Remark","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","Amphibious","AmphibiousRef","AnaCat","MigratRef","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Pic","PictureFemale","LarvaPic","EggPic","ImportanceRef","Importance","PriceCateg","PriceReliability","Remarks7","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","UsedasBait","BaitRef","Aquarium","AquariumFishII","AquariumRef","GameFish","GameRef","Dangerous","DangerousRef","Electrogenic","ElectroRef","Complete","GoogleImage","Comments","Profile","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
"162",162,"MARIAN","Guam","EPSP","Epinephelus sp","Serranidae","PISCIVORE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",163,"MARIAN","Guam","EPTA","Epinephelus tauvina","Serranidae","PISCIVORE",4461,"Epinephelus",5222,"(Forssk<e5>l, 1775)","Greasy grouper","Eptau_u0.jpg",NA,NA,NA,289,"Epinephelinae",7755,NA,"fusiform / normal","R",NA,NA,0,0,0,-1,"reef-associated",NA,NA,"oceanodromous",51243,1,300,28016,NA,NA,NA,NA,NA,NA,NA,59.27,100,"TL",NA,NA,89972,90,"TL",NA,NA,5450,NA,NA,NA,"EPTAU_U0",NA,NA,NA,5222,"minor commercial","very high","Questionable: based on ex-vessel price for species in this genus",NA,"up to 1,000 tons/year",NA,"various gears",NA,0,-1,0,-1,-1,-1,0,0,-1,-1,"commercial",NA,12108,"never/rarely",NA,"never/rarely",NA,NA,-1,4699,"reports of ciguatera poisoning",9710,"no special ability",NA,NA,-1,"Adults prefer clear water areas on coral reefs; juveniles have been taken from reef flats and in tide pools, adults found in deeper waters.  Solitary and common in lightly fished areas (Ref. 37816).  Adults from Oceania almost exclusively feed on fishes (holocentrids, mullid, and pomacentrid); and occasionally, crustaceans (Ref. 89707).  Present in the Hong Kong live fish markets (Ref. 27253).  Minimum depth reported taken from Ref. 30874.  Occasionally ciguatoxic (Ref. 37816).  Reports of sizes in excess of 80 cm total length for <i>E. tauvina</i> are probably based on misidentifications of <i>E. coioides</i>, <i>E. malabaricus</i>, and <i>E. lanceolatus</i>; these species grow much bigger than <i>E. tauvina</i> (Ref. 5222, Heemstra pers. comm. 09/04).
.",NA,0.5,0,3,677376000,2,1416960000,14,767404800,NA
"164",164,"MARIAN","Guam","EVSP","Eviota sp","Gobiidae","SECONDARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",165,"MARIAN","Guam","EXBR","Exallias brevis","Blenniidae","SECONDARY",6032,"Exallias",1602,"(Kner, 1868)","Leopard blenny","Exbre_u0.jpg",NA,NA,NA,392,"Salariinae",8111,NA,"short and / or deep","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,3,20,9710,3,8,58302,NA,NA,NA,NA,24.63,14.5,"TL",NA,NA,9710,NA,NA,NA,NA,NA,NA,NA,NA,"EXBRE_U0",NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",5358,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Adults occur on clear coastal reefs, often in bays and semi-exposed habitats (Ref. 48636).  Found on the seaward edge of reefs, among corals like <i>Acropora</i>, <i>Pocillopora</i>, <i>Seriatopora</i>, <i>Porites</i>, and <i>Millepora</i> where they feed on coral tissues (Ref. 1602).  Benthic (Ref. 58302).  Males prepare nesting sites by overgrazing a patch of coral (Ref. 9710).   Oviparous.  Eggs are demersal and adhesive (Ref. 205), and are attached to the substrate via a filamentous, adhesive pad or pedestal (Ref. 94114).  Larvae are planktonic, often found in shallow, coastal waters (Ref. 94114).  Minimum depth reported taken from Ref. 30874.",NA,1,0,14,711158400,2,1391558400,3,778118400,NA
"166",166,"MARIAN","Guam","FICO","Fistularia commersonii","Fistulariidae","PISCIVORE",5444,"Fistularia",1602,"R<fc>ppell, 1838","Bluespotted cornetfish","Ficom_u6.jpg",NA,NA,NA,254,NA,1424,NA,"elongated","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,0,132,58302,NA,NA,NA,NA,NA,NA,NA,68.33,160,"TL",NA,NA,9301,100,"TL",NA,NA,9301,NA,NA,NA,"FICOM_U0",NA,NA,NA,9301,"minor commercial","unknown",NA,NA,NA,NA,"various gears",NA,0,-1,0,-1,-1,-1,0,0,-1,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",5358,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Adults inhabit reef habitats to a depth of at least 128 m, except in heavy surge areas.  Also found in sandy bottoms adjacent to reef areas (Ref. 36710), either solitary or in schools (Ref. 9710).  Benthopelagic (Ref. 58302).  Feed on small fishes, crustaceans (squids and shrimps) (Ref. 36327, 36710) and squids (Ref. 37816).  Probably marketed fresh, salted or dried or smoked but more often reduced to fish meal (Ref. 9301).",NA,0.625,0,1,705196800,1472,1215043200,157,812678400,NA
"167",167,"MARIAN","Guam","FISH","Un-id fish sp",NA,"SECONDARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",168,"MARIAN","Guam","FOFL","Forcipiger flavissimus","Chaetodontidae","SECONDARY",5584,"Forcipiger",1602,"Jordan & McGregor, 1898","Longnose butterfly fish","Fofla_u9.jpg",NA,NA,NA,343,NA,1163,NA,"short and / or deep","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,"non-migratory",NA,2,145,89467,NA,NA,NA,18,72479,NA,NA,16.69,22,"TL",NA,NA,9710,NA,NA,NA,NA,NA,NA,NA,NA,"FOFLA_U5",NA,NA,NA,NA,"of no interest","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",5358,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Common in exposed seaward reefs but also found in lagoon reefs (Ref. 9286).  Benthopelagic (Ref. 58302).  Solitary or in small groups of up to 5 individuals (Ref. 9286).  Adults usually in pairs (Ref. 48636).  Feed on a wide variety of animal prey including hydroids, fish eggs, small crustaceans but prefers tube feet of echinoderms, pedicilaria of sea urchins, and polychaete tentacles (Ref. 1602).  Oviparous (Ref. 205), monogamous (Ref. 52884).  Form pairs during breeding (Ref. 205).  Second most important export in Hawaii (Ref. 37816).",NA,0.625,0,14,707702400,1472,1341964800,113,803779200,NA
"169",169,"MARIAN","Guam","FOLO","Forcipiger longirostris","Chaetodontidae","SECONDARY",5585,"Forcipiger",1602,"(Broussonet, 1782)","Longnose butterflyfish","Folon_u5.jpg",NA,NA,"Folon_j0.jpg",343,NA,1163,1,"short and / or deep","O",NA,"The species <i>Forcipiger cyrano</i> Randall, 1961 is considered as valid in Eschmeyer (CofF ver. Mar. 2011: Ref. 86697) following Randall (2007: Ref. 86689).",1,0,0,-1,"reef-associated",NA,NA,"non-migratory",NA,3,200,89972,NA,NA,NA,NA,NA,NA,NA,16.69,22,"TL",NA,NA,9710,NA,NA,NA,NA,NA,NA,NA,NA,"FOLON_U3",NA,NA,NA,NA,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",5358,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"A generally uncommon species that inhabits seaward reefs to depths greater than 60 m (Ref. 9710).  Benthopelagic (Ref. 58302).  Feeds mainly on whole organisms such as small crustaceans.  Usually seen in pairs.  Oviparous (Ref. 205), monogamous (Ref. 52884).  Forms pairs during breeding (Ref. 205).  Sometimes dark brown instead of yellow (Ref. 48636).  In the East Indian region this species is replaced by <i>F. wanai at Cenderawasih Bay (Ref. 90102).",NA,0.625,0,14,707702400,2291,1413158400,18,776649600,NA
"170",170,"MARIAN","Guam","GNAU","Gnathodentex aureolineatus","Lethrinidae","SECONDARY",1832,"Gnathodentex",2295,"(Lacep<e8>de, 1802)","Striped large-eye bream","Gnaur_u7.jpg",NA,NA,NA,328,"Monotaxinae",8208,NA,"fusiform / normal","R",NA,NA,0,0,0,-1,"reef-associated",NA,NA,"non-migratory",NA,3,30,9710,NA,NA,NA,NA,NA,NA,NA,30.1,30,"TL",NA,NA,2295,20,"TL",NA,NA,2295,NA,NA,NA,"GNAUR_U1",NA,NA,NA,171,"commercial","very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,"various gears",NA,0,-1,0,-1,-1,0,0,0,-1,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"reports of ciguatera poisoning",4690,"no special ability",NA,NA,-1,"Inhabits subtidal reef flats, lagoons, and seaward reefs (Ref. 9710).  May be solitary or in groups (Ref. 90102). Sometimes forms aggregations of about a hundred or more individuals.  Feeds at night on benthic invertebrates like crabs and gastropods, occasionally on small fish.  Usually marketed fresh.",NA,1,0,2,658195200,2310,1365724800,113,847929600,NA
"171",171,"MARIAN","Guam","GOBI","Gobiidae","Gobiidae","SECONDARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",172,"MARIAN","Guam","GOVA","Gomphosus varius","Labridae","SECONDARY",5626,"Gomphosus",2334,"Lacep<e8>de, 1801","Bird wrasse","Govar_u0.jpg","Govar_m0.jpg","Govar_f0.jpg","Govar_j0.jpg",362,NA,9832,NA,"fusiform / normal","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,1,35,90102,2,30,27115,NA,NA,NA,NA,43.72,30,"SL",NA,NA,9823,NA,NA,NA,NA,NA,NA,NA,NA,"GOVAR_M0","GOVAR_F0",NA,NA,9823,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",5358,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"A solitary species (Ref. 90102) found in coral-rich areas of lagoon and seaward reefs to a depth of at least 30 m (Ref. 1602, 58302).  Benthopelagic (Ref. 58302).  Feeds mainly on small benthic crustaceans, sometimes on small fishes, brittle stars, and mollusks (Ref. 2334).",NA,0.75,0,14,708134400,2310,1368662400,14,799632000,NA
"173",173,"MARIAN","Guam","GRAL","Gracila albomarginata","Serranidae","PISCIVORE",6477,"Gracila",5222,"(Fowler & Bean, 1930)","Masked grouper","Gralb_u2.jpg",NA,NA,"Gralb_j0.jpg",289,"Epinephelinae",7807,NA,"fusiform / normal","R",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,6,120,9710,15,120,9710,NA,NA,NA,NA,35.96,40,"TL",NA,NA,9710,NA,NA,NA,NA,NA,NA,NA,NA,"GRALB_U2",NA,NA,NA,171,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,"hooks and lines",NA,0,-1,0,-1,-1,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,-1,30874,"harmless",NA,"no special ability",NA,NA,-1,"An active swimmer usually found on outer reef slopes and channels adjacent to deep water.  Hovers above the bottom and probably feeds primarily on fishes (Ref. 9710).  It is uncommon and usually solitary, however Myers (1989, Ref. 4538) reported of occasional sightings of groups of 3 or 4 fish. Solitary, hovering in midwater (Ref 90102).",NA,1,0,14,719193600,2291,1362960000,14,767491200,NA
"174",174,"MARIAN","Guam","GRSE","Grammistes sexlineatus","Serranidae","SECONDARY",4925,"Grammistes",4326,"(Thunberg, 1792)","Goldenstriped soapfish","Grsex_u0.jpg",NA,NA,NA,289,"Grammistinae",2588,NA,"fusiform / normal","R",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,1,130,37816,1,20,90102,NA,NA,NA,NA,31.76,30,"TL",NA,NA,9710,NA,NA,NA,NA,NA,NA,NA,NA,"GRSEX_U1",NA,"GRSEX_L0",NA,9623,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,"various gears",NA,0,0,0,-1,0,0,0,0,-1,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",9183,0,NA,"reports of ciguatera poisoning",31637,"no special ability",NA,NA,-1,"Inhabits coastal waters over corals and rocky substrates (Ref. 5213, 48635).  Usually hides beneath ledges and small caves during the day (Ref. 4326, 48635).  Small juveniles have only two white stripes, dividing with growth into numerous lines.  The lines break-up into dashes and spots when adult (Ref. 48635).  Feeds on fishes (Ref. 4821).  Has toxin-producing glands in the dermis (Ref. 4326) which is extremely bitter to the taste (Ref. 11441).  Minimum depth reported taken from Ref. 30874.",NA,1,0,2,696816000,2291,1363219200,34,810777600,NA
"175",175,"MARIAN","Guam","GYFL","Gymnothorax flavimarginatus","Muraenidae","PISCIVORE",5392,"Gymnothorax",6934,"(R<fc>ppell, 1830)","Yellow-edged moray","Gyfla_u9.jpg",NA,NA,NA,56,"Muraeninae",3758,NA,"eel-like","R",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,1,150,1602,NA,NA,NA,NA,NA,NA,NA,84.66,240,"TL",NA,NA,48635,NA,NA,NA,NA,NA,NA,NA,NA,"GYFLA_U1",NA,NA,NA,30573,"commercial","medium","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,"hooks and lines",NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",5358,0,NA,"reports of ciguatera poisoning",4690,"no special ability",NA,NA,-1,"Along drop-offs (Ref. 48635).  Benthic (Ref. 58302).  Occurs in coral or rocky areas of reef flats and protected shorelines to seaward reefs.  Feeds on cephalopods (Ref. 30573), fishes, and crustaceans (Ref. 89972).  Most often appears on the reef after a fish has been speared during daylight.  The regularity and promptness of such appearances make it clear that <i>G. flavimarginatus</i> is especially sensitive to stimuli emanating from an injured or stressed fish (Ref. 13550).  Eaten in some parts of the Indo-Pacific (Ref. 12484).  Minimum depth reported taken from (Ref. 30874). Solitary and curious, usually seen with head protruding (Ref 90102).",NA,0.5,0,14,703296000,2291,1411430400,1,768700800,NA
"176",176,"MARIAN","Guam","GYJA","Gymnothorax javanicus","Muraenidae","PISCIVORE",6380,"Gymnothorax",6934,"(Bleeker, 1859)","Giant moray","Gyjav_u2.jpg",NA,NA,NA,56,"Muraeninae",3758,NA,"eel-like","R",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,0,50,30573,NA,NA,NA,NA,NA,NA,NA,86.23,300,"TL",NA,NA,9710,NA,NA,NA,NA,NA,30000,NA,30404,"GYJAV_U3",NA,NA,NA,NA,"subsistence fisheries","medium","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"public aquariums","based mainly on capture",13603,0,NA,"reports of ciguatera poisoning",4690,"no special ability",NA,NA,-1,"Found in lagoon and seaward reefs.  Commonly seen species along deep drop-offs and slopes in Indonesian waters (Ref. 48635).  Benthic (Ref. 58302).  Juveniles more secretive and occur on intertidal reef flats (Ref. 37816).  It feeds primarily on fishes and occasionally on crustaceans.  This is the largest Indo-Pacific moray eel (Ref. 30404), perhaps reaching 3 m in length.  Because of its position at the top of the reef's food chain it is often ciguatoxic.  Attacks humans when provoked (Ref. 3132).  Minimum depth reported taken from Ref. 10713. Solitary in reef holes (Ref 90102).",NA,0.5,0,10,716256000,2291,1360540800,126,812678400,NA
"177",177,"MARIAN","Guam","GYME","Gymnothorax meleagris","Muraenidae","PISCIVORE",5394,"Gymnothorax",6934,"(Shaw, 1795)","Turkey moray","Gymel_u0.jpg",NA,NA,NA,56,"Muraeninae",3758,NA,"eel-like","R",NA,NA,0,-1,-1,-1,"reef-associated",NA,NA,NA,NA,1,51,58302,NA,NA,NA,NA,NA,NA,NA,69.14,120,"TL",NA,NA,1602,80,"TL",NA,NA,30573,NA,NA,NA,"GYMEL_U3",NA,NA,NA,3258,"minor commercial","medium","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,"various gears",NA,0,0,0,-1,-1,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",5358,0,NA,"reports of ciguatera poisoning",4690,"no special ability",NA,NA,-1,"Occurs in coral-rich areas of lagoon and seaward reefs from depths of 1 m to at least 36 m.  Prefers very shallow depth and juveniles often in intertidal zones (Ref. 30404).  Benthic (Ref. 58302).  Often seen hunting during low tide among partly exposed reefs (Ref. 48635).  Feeds mainly on fishes, also on crustaceans, by day and probably also at night (Ref. 13550).  Caught with various nets (Ref. 30573).",NA,0.5,0,14,703296000,10,1389916800,1,768700800,NA
"178",178,"MARIAN","Guam","GYUC","Gymnosarda unicolor","Scombridae","PISCIVORE",106,"Gymnosarda",168,"(R<fc>ppell, 1836)","Dogtooth tuna","Gyuni_u4.jpg",NA,NA,NA,416,"Scombrinae",2446,NA,"fusiform / normal","R",NA,NA,0,0,0,-1,"reef-associated",NA,NA,"oceanodromous",51243,10,250,86942,NA,NA,NA,NA,NA,NA,NA,72.67,247.98,"FL",NA,NA,40637,190,"NG",NA,NA,9710,131000,NA,168,"GYUNI_U0",NA,NA,NA,171,"minor commercial","high","Reliable: based on ex-vessel price for this species",NA,NA,NA,"various gears",NA,-1,0,0,0,0,0,0,0,-1,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,-1,4699,"reports of ciguatera poisoning",168,"no special ability",NA,NA,-1,"An offshore species found mainly around coral reefs.  Generally solitary or occur in small schools of six or less.  Preys on small schooling fishes such as <i>Decapterus</i>, <i>Caesio</i>, <i>Nasio</i>, <i>Cirrhilabrus</i>, <i>Pterocaesio</i> and squids.  Caught mainly by pole-and-line. Marketed canned and frozen (Ref. 9684, 48637).  Adults may be ciguatoxic (Ref. 37816).",NA,1,0,2,656121600,14,1549238400,18,763862400,NA
"179",179,"MARIAN","Guam","HABI","Halichoeres biocellatus","Labridae","SECONDARY",5627,"Halichoeres",2334,"Schultz, 1960","Red-lined wrasse","Habio_u2.jpg",NA,NA,NA,362,"Corinae",1901,NA,"fusiform / normal","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,6,35,90102,7,35,27115,NA,NA,NA,NA,21.39,12,"TL",NA,NA,9710,NA,NA,NA,NA,NA,NA,NA,NA,"HABIO_U1","HABIO_F1",NA,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",9210,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Found in small groups (Ref. 90102) in seaward reefs to at least 35 m depth, usually in areas of mixed coral and reef rock with sand patches (Ref. 9710).  Also in reef crests and slopes on rocky or rubble-algae substrates (Ref. 48636).",NA,0.5,0,14,708134400,2310,1368748800,14,799632000,NA
"180",180,"MARIAN","Guam","HAHO","Halichoeres hortulanus","Labridae","SECONDARY",12663,"Halichoeres",2334,"(Lacep<e8>de, 1801)","Checkerboard wrasse","Hahor_u0.jpg",NA,NA,NA,362,"Corinae",1901,NA,"fusiform / normal","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,1,30,1602,1,30,27115,NA,NA,NA,NA,20.73,27,"TL",NA,NA,2334,NA,NA,NA,NA,NA,NA,NA,NA,"HAHOR_U2","HAHOR_F0",NA,NA,5374,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,"various gears",NA,0,0,0,-1,-1,0,0,0,-1,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",9210,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits sand patches of lagoon and seaward reefs to at least 30 m (Ref. 1602); also on slopes to moderate depths along drop-offs (Ref. 48636).  Juveniles common at the bottom of surge channels (Ref. 9710).  Feeds mainly on hard-shelled prey, including mollusks, crustaceans and sea urchins (9823).",NA,0.5,0,2,790560000,2310,1368748800,14,799977600,NA
"181",181,"MARIAN","Guam","HAMA","Halichoeres marginatus","Labridae","SECONDARY",5631,"Halichoeres",2334,"R<fc>ppell, 1835","Dusky wrasse","Hamar_u3.jpg",NA,NA,NA,362,"Corinae",1901,NA,"fusiform / normal","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,0,30,1602,NA,NA,NA,NA,NA,NA,NA,19.61,18,"TL",NA,NA,4392,NA,NA,NA,NA,NA,NA,NA,NA,"HAMAR_U6","HAMAR_F2",NA,NA,35545,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",9210,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabit lagoon and seaward reefs, along the upper edges of coral-rich areas (Ref. 9710, 58534).  Benthopelagic (Ref. 58302).  May be solitary or found in small group (Ref. 90102). Juveniles are encountered in exposed outer reef flats (Ref. 1602).  Feed on a wide variety of small invertebrates as well as fish eggs.",NA,0.5,0,14,708134400,2310,1368748800,14,1330992000,NA
"182",182,"MARIAN","Guam","HAME","Halichoeres melasmapomus","Labridae","SECONDARY",4856,"Halichoeres",2334,"Randall, 1981","Cheekspot wrasse","Hamel_u6.jpg",NA,NA,NA,362,"Corinae",1901,NA,"fusiform / normal","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,10,56,90102,33,NA,1602,NA,NA,NA,NA,31.13,24,"TL",NA,NA,9710,NA,NA,NA,NA,NA,NA,NA,NA,"HAMEL_UA",NA,NA,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",9210,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Common around patches of rubble or mixed rubble and coral along steep drop-offs (Ref. 1602) at 10-56 m depth (Ref. 90102). Feeds on benthic invertebrates (Ref. 89972).",NA,0.5,0,14,693187200,2291,1413331200,14,799977600,NA
"183",183,"MARIAN","Guam","HAMT","Halichoeres margaritaceus","Labridae","SECONDARY",5630,"Halichoeres",2334,"(Valenciennes, 1839)","Pink-belly wrasse","Hamar_m1.jpg",NA,NA,NA,362,"Corinae",1901,NA,"fusiform / normal","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,0,5,30874,NA,NA,NA,NA,NA,NA,NA,25.86,12.5,"SL",NA,NA,9823,NA,NA,NA,NA,NA,NA,NA,NA,"HAMAR_U0","HAMAR_F0",NA,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",9210,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits shallow reefs and rocky shores, usually in weedy areas exposed to surge (Ref. 9710, 48636).  Feeds on benthic crustaceans, mollusks, polychaetes, forams, fishes, and fish eggs (Ref. 1602).  One of several similar species that have near identical juvenile and female stages (Ref. 48636).",NA,0.5,0,14,708134400,303,1240963200,14,799632000,NA
"184",184,"MARIAN","Guam","HAOR","Halichoeres ornatissimus","Labridae","SECONDARY",6664,"Halichoeres",2334,"(Garrett, 1863)","Ornamented wrasse","Haorn_m1.jpg","Haorn_m2.jpg",NA,NA,362,"Corinae",1901,NA,"fusiform / normal","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,4,15,30874,NA,NA,NA,NA,NA,NA,NA,27.03,18,"TL",NA,NA,2272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",5358,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits lagoon and seaward reefs, coral-rich areas with sand patches (Ref. 9710).  Benthopelagic (Ref. 58302).  Feeds primarily on small benthic crustaceans and mollusks (Ref. 3921).",NA,0.5,0,14,723254400,1472,1200960000,14,799977600,NA
"185",185,"MARIAN","Guam","HASP","Halichoeres sp","Labridae","SECONDARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
